id,user_id,username,story_id,interaction_type,interaction_data,timestamp,device_info
39,user_790bf093,user05,story_026,audio_complete_button_click,"{""is_real_audio"": true, ""audio_duration"": 279096, ""completion_time"": 1768970998509, ""completion_method"": ""audio""}",2026-01-21 12:49:58,Android
40,user_ffa34386,user08,story_026,audio_play_click,"{""play_time"": 1768983273406, ""audio_type"": ""real"", ""is_real_audio"": true, ""audio_duration"": 279096}",2026-01-21 16:14:33,Android
41,user_ffa34386,user08,story_026,first_scroll,"{""timestamp"": 1768983275691, ""max_scroll"": 5374, ""scroll_position"": 438}",2026-01-21 16:14:35,Android
42,user_ffa34386,user08,story_026,audio_play_click,"{""play_time"": 1768983280560, ""audio_type"": ""real"", ""is_real_audio"": true, ""audio_duration"": 279096}",2026-01-21 16:14:40,Android
43,user_ffa34386,user08,story_026,text_complete,"{""completion_mode"": ""text""}",2026-01-21 16:15:32,Android App
44,user_ffa34386,user08,story_026,text_complete_button_click,"{""max_scroll"": 5019, ""completion_time"": 1768983333173, ""scroll_position"": 4717, ""reading_duration"": 0, ""completion_method"": ""text""}",2026-01-21 16:15:33,Android
45,user_ad72b10b,user09,story_026,first_scroll,"{""timestamp"": 1769007778347, ""max_scroll"": 1438, ""scroll_position"": 1003}",2026-01-21 23:02:58,Android
46,user_ad72b10b,user09,story_026,text_complete,"{""completion_mode"": ""text""}",2026-01-21 23:04:00,Android App
47,user_ad72b10b,user09,story_026,text_complete_button_click,"{""max_scroll"": 1425, ""completion_time"": 1769007840481, ""scroll_position"": 1387, ""reading_duration"": 0, ""completion_method"": ""text""}",2026-01-21 23:04:00,Android
48,user_6241f5ba,user07,story_027,audio_play_click,"{""play_time"": 1769013601775, ""audio_type"": ""real"", ""is_real_audio"": true, ""audio_duration"": 284136}",2026-01-22 00:40:01,Android
49,user_6241f5ba,user07,story_027,audio_complete,"{""completion_mode"": ""audio""}",2026-01-22 00:50:47,Android App
50,user_6241f5ba,user07,story_027,audio_complete_button_click,"{""is_real_audio"": true, ""audio_duration"": 284136, ""completion_time"": 1769014248900, ""completion_method"": ""audio""}",2026-01-22 00:50:48,Android
51,user_ffa34386,user08,story_027,first_scroll,"{""timestamp"": 1769014294909, ""max_scroll"": 7291, ""scroll_position"": 887}",2026-01-22 00:51:34,Android
52,user_ffa34386,user08,story_027,audio_play_click,"{""play_time"": 1769014297166, ""audio_type"": ""real"", ""is_real_audio"": true, ""audio_duration"": 284136}",2026-01-22 00:51:36,Android
53,user_ffa34386,user08,story_027,first_scroll,"{""timestamp"": 1769015557663, ""max_scroll"": 7291, ""scroll_position"": 77}",2026-01-22 01:12:37,Android
54,user_ffa34386,user08,story_027,audio_play_click,"{""play_time"": 1769015561388, ""audio_type"": ""real"", ""is_real_audio"": true, ""audio_duration"": 284136}",2026-01-22 01:12:40,Android
55,user_ffa34386,user08,story_027,first_scroll,"{""timestamp"": 1769021730391, ""max_scroll"": 7291, ""scroll_position"": 1532}",2026-01-22 02:55:29,Android
56,user_ffa34386,user08,story_027,text_complete,"{""completion_mode"": ""text""}",2026-01-22 02:56:16,Android App
57,user_ffa34386,user08,story_027,text_complete_button_click,"{""max_scroll"": 7109, ""completion_time"": 1769021777313, ""scroll_position"": 1057, ""reading_duration"": 0, ""completion_method"": ""text""}",2026-01-22 02:56:16,Android
